                   150282—25℃刻度因数、线性度测试
  表 号:    150282  
测试温度:      25℃  
测试时间:  2018年8月15日
  
  速率              输出
ω= 0.0000°/s    U=0.051388mV   
ω= 0.1000°/s    U=-0.259146mV   
ω= 0.5000°/s    U=-1.501434mV   
ω= 1.0000°/s    U=-3.030808mV   
ω= 2.0000°/s    U=-6.148425mV   
ω= 3.0000°/s    U=-9.256922mV   
ω= 5.0000°/s    U=-15.431019mV   
ω= 8.0000°/s    U=-24.747172mV   
ω=10.0000°/s    U=-30.972678mV   
ω=15.0000°/s    U=-46.457948mV   
ω=20.0000°/s    U=-61.990391mV   
ω=30.0000°/s    U=-92.969719mV   
ω=40.0000°/s    U=-124.015293mV   
ω=60.0000°/s    U=-185.960947mV   
ω=80.0000°/s    U=-247.858511mV   
ω=120.0000°/s    U=-371.290170mV   
ω=150.0000°/s    U=-463.481920mV   
ω=180.0000°/s    U=-555.260732mV   
ω=250.0000°/s    U=-767.236782mV   
ω=300.0000°/s    U=-916.360858mV   
ω=350.0000°/s    U=-1063.241740mV   
ω=300.0000°/s    U=-916.398625mV   
ω=250.0000°/s    U=-767.269561mV   
ω=180.0000°/s    U=-555.275477mV   
ω=150.0000°/s    U=-463.504729mV   
ω=120.0000°/s    U=-371.302370mV   
ω=80.0000°/s    U=-247.846312mV   
ω=60.0000°/s    U=-185.991287mV   
ω=40.0000°/s    U=-124.028448mV   
ω=30.0000°/s    U=-93.003768mV   
ω=20.0000°/s    U=-61.984761mV   
ω=15.0000°/s    U=-46.465559mV   
ω=10.0000°/s    U=-30.998042mV   
ω= 8.0000°/s    U=-24.765426mV   
ω= 5.0000°/s    U=-15.465761mV   
ω= 3.0000°/s    U=-9.267162mV   
ω= 2.0000°/s    U=-6.163263mV   
ω= 1.0000°/s    U=-3.045986mV   
ω= 0.5000°/s    U=-1.498986mV   
ω= 0.1000°/s    U=-0.271216mV   
ω= 0.0000°/s    U=0.065055mV   
ω=-0.1000°/s    U=0.385424mV   
ω=-0.5000°/s    U=1.602793mV   
ω=-1.0000°/s    U=3.163705mV   
ω=-2.0000°/s    U=6.258364mV   
ω=-3.0000°/s    U=9.357100mV   
ω=-5.0000°/s    U=15.562992mV   
ω=-8.0000°/s    U=24.865461mV   
ω=-10.0000°/s    U=31.077485mV   
ω=-15.0000°/s    U=46.587035mV   
ω=-20.0000°/s    U=62.094130mV   
ω=-30.0000°/s    U=93.102457mV   
ω=-40.0000°/s    U=124.129973mV   
ω=-60.0000°/s    U=186.075433mV   
ω=-80.0000°/s    U=247.972807mV   
ω=-120.0000°/s    U=371.399770mV   
ω=-150.0000°/s    U=463.581735mV   
ω=-180.0000°/s    U=555.353637mV   
ω=-250.0000°/s    U=767.270887mV   
ω=-300.0000°/s    U=916.382895mV   
ω=-350.0000°/s    U=1063.208820mV   
ω=-300.0000°/s    U=916.389155mV   
ω=-250.0000°/s    U=767.326793mV   
ω=-180.0000°/s    U=555.343344mV   
ω=-150.0000°/s    U=463.602742mV   
ω=-120.0000°/s    U=371.402104mV   
ω=-80.0000°/s    U=247.989142mV   
ω=-60.0000°/s    U=186.079676mV   
ω=-40.0000°/s    U=124.095281mV   
ω=-30.0000°/s    U=93.110599mV   
ω=-20.0000°/s    U=62.084285mV   
ω=-15.0000°/s    U=46.608611mV   
ω=-10.0000°/s    U=31.082232mV   
ω=-8.0000°/s    U=24.901267mV   
ω=-5.0000°/s    U=15.562844mV   
ω=-3.0000°/s    U=9.354524mV   
ω=-2.0000°/s    U=6.242621mV   
ω=-1.0000°/s    U=3.154807mV   
ω=-0.5000°/s    U=1.627221mV   
ω=-0.1000°/s    U=0.367766mV   
ω= 0.0000°/s    U=0.037881mV   
                       
标度因数        -3.0642mV/(°/s)    
0＜ω≤180°/s线性度            0.1854%   
180°/s＜ω≤350°/s线性度      0.8680%   
          
          


